COUNTRYID,COUNTRYNAME
101,Ireland
121,South Korea
54,Czechia
200,Slovakia
186,Réunion
222,Trinidad & Tobago
146,Macao
18,Bosnia & Herzegovina
28,Brunei
142,North Macedonia
43,Côte d’Ivoire
39,Congo - Kinshasa
5,Antigua & Barbuda
144,Myanmar (Burma)
127,St. Lucia
41,Congo - Brazzaville
260,Curaçao
256,St. Martin
178,St. Pierre & Miquelon
210,Turks & Caicos Islands
257,St. Barthélemy
119,St. Kitts & Nevis
237,U.S. Virgin Islands
9,Caribbean Netherlands
206,São Tomé & Príncipe
16,Åland Islands
71,Falkland Islands (Islas Malvinas)
234,St. Vincent & Grenadines
199,Svalbard & Jan Mayen
220,Timor-Leste
